streamId,assetCode,streamName,fuelType,subfuelType,timeInterval,intervalType
293682,ANC1,AB Newsprint,Natural Gas,Simple Gas,1 min,supply
293686,ALP1,Bantry,Natural Gas,Simple Gas,1 min,supply
293689,BHL1,Bellshill,Natural Gas,Simple Gas,1 min,supply
293705,GEN5,Carson Creek,Natural Gas,Simple Gas,1 min,supply
293714,ENC1,Cloverbar #1,Natural Gas,Simple Gas,1 min,supply
293715,ENC2,Cloverbar #2,Natural Gas,Simple Gas,1 min,supply
293716,ENC3,Cloverbar #3,Natural Gas,Simple Gas,1 min,supply
84987,CRS1,CRS1 Crossfield #1,Natural Gas,Simple Gas,1 min,supply
84997,CRS2,CRS2 Crossfield #2,Natural Gas,Simple Gas,1 min,supply
84998,CRS3,CRS3 Crossfield #3,Natural Gas,Simple Gas,1 min,supply
293725,DRW1,Drywood,Natural Gas,Simple Gas,1 min,supply
293738,HRM,H.R. Milner,Natural Gas,Simple Gas,1 min,supply
293743,GEN6,Judy Creek,Natural Gas,Simple Gas,1 min,supply
293749,ME03,Lethbridge Burdett,Natural Gas,Simple Gas,1 min,supply
293750,ME04,Lethbridge Coaldale,Natural Gas,Simple Gas,1 min,supply
293751,ME02,Lethbridge Taber,Natural Gas,Simple Gas,1 min,supply
293764,NPC2,NPC2 JL Landry,Natural Gas,Simple Gas,1 min,supply
336890,NPC3,Elmworth,Natural Gas,Simple Gas,1 min,supply
293762,NPP1,Northern Prairie Power Project,Natural Gas,Simple Gas,1 min,supply
293767,ALP2,Parkland,Natural Gas,Simple Gas,1 min,supply
23557,PH1,Poplar Hill,Natural Gas,Simple Gas,1 min,supply
23562,RB5,Rainbow #5,Natural Gas,Simple Gas,1 min,supply
193992,NAT1,Ralston,Natural Gas,Simple Gas,1 min,supply
293775,SET1,S. Edmonton Terminal,Natural Gas,Simple Gas,1 min,supply
23567,VVW1,Valley View #1,Natural Gas,Simple Gas,1 min,supply
105499,VVW2,Valley View 2,Natural Gas,Simple Gas,1 min,supply
293792,WCD1,West Cadotte,Natural Gas,Simple Gas,1 min,supply
293793,PMB1,West Pembina,Natural Gas,Simple Gas,1 min,supply
203138,ALS1,Air Liquide Scotford #1,Natural Gas,Cogen,1 min,supply
293683,HMT1,AltaGas Harmattan,Natural Gas,Cogen,1 min,supply
241570,SCR1,Base Plant,Natural Gas,Cogen,1 min,supply
293687,BCRK,Bear Creek,Natural Gas,Cogen,1 min,supply
293688,BCR2,Bear Creek 2,Natural Gas,Cogen,1 min,supply
293691,BFD1,Blackfalds,Natural Gas,Cogen,1 min,supply
293717,CNR5,CNRL Horizon,Natural Gas,Cogen,1 min,supply
293718,COD1,Coaldale,Natural Gas,Cogen,1 min,supply
293701,CRG1,Camrose,Natural Gas,Cogen,1 min,supply
293703,SHCG,Shell Caroline,Natural Gas,Cogen,1 min,supply
293704,TC01,Carseland Cogen,Natural Gas,Cogen,1 min,supply
293711,CL01,Christina Lake,Natural Gas,Cogen,1 min,supply
23554,DOWG,DOW Hydrocarbon,Natural Gas,Cogen,1 min,supply
293726,TLM2,Edson,Natural Gas,Cogen,1 min,supply
241572,SCR6,Firebag,Natural Gas,Cogen,1 min,supply
241573,FH1,Fort Hills,Natural Gas,Cogen,1 min,supply
293731,EC04,Encana Foster Creek,Natural Gas,Cogen,1 min,supply
335528,HRT1,Heartland Petrochemical,Natural Gas,Cogen,1 min,supply
23555,JOF1,Joffre #1,Natural Gas,Cogen,1 min,supply
293744,IOR3,Kearl,Natural Gas,Cogen,1 min,supply
293752,PEC1,Lindbergh,Natural Gas,Cogen,1 min,supply
293757,MEG1,MEG1 Christina Lake,Natural Gas,Cogen,1 min,supply
293753,MKRC,MacKay River,Natural Gas,Cogen,1 min,supply
293754,IOR1,Mahkeses,Natural Gas,Cogen,1 min,supply
293758,MUL1,Mulligan,Natural Gas,Cogen,1 min,supply
23556,MKR1,Muskeg River,Natural Gas,Cogen,1 min,supply
293759,IOR2,Nabiye,Natural Gas,Cogen,1 min,supply
293761,NX02,Nexen Inc #2,Natural Gas,Cogen,1 min,supply
241571,SCR5,Poplar Creek,Natural Gas,Cogen,1 min,supply
23558,PR1,Primrose #1,Natural Gas,Cogen,1 min,supply
105501,RL1,Rainbow Lake #1,Natural Gas,Cogen,1 min,supply
293769,TC02,Redwater Cogen,Natural Gas,Cogen,1 min,supply
293771,SDH1,Saddle Hills,Natural Gas,Cogen,1 min,supply
23550,APS1,ATCO Scotford Upgrader,Natural Gas,Cogen,1 min,supply
293776,IOR4,Strathcona,Natural Gas,Cogen,1 min,supply
293786,SCL1,Syncrude,Natural Gas,Cogen,1 min,supply
293788,UOC1,U of C,Natural Gas,Cogen,1 min,supply
293789,UOA1,U of A,Natural Gas,Cogen,1 min,supply
293709,EC01,Cavalier,Natural Gas,Combined Cycle,1 min,supply
23725,CAL1,ENMAX Calgary Energy Centre,Natural Gas,Combined Cycle,1 min,supply
293730,FNG1,Fort Nelson,Natural Gas,Combined Cycle,1 min,supply
293756,CMH1,Medicine Hat,Natural Gas,Combined Cycle,1 min,supply
